"date....row.names.as.matrix.st.." "X6283.TW.Open" "X6283.TW.High" "X6283.TW.Low" "X6283.TW.Close" "X6283.TW.Volume" "X6283.TW.Adjusted" "mm" "ss1" "ss2" "ss3" "ss4"
"2013-11-15" 12.82711 13.07382 12.03779 12.03779 1940600 22.1031 1.08098598295436 -20.0502577330877 -9.48755847141726 11.649530437326 22.2122296989964
"2013-11-18" 11.74173 12.03779 11.19908 11.19908 1702700 20.5631 1.10390342168864 -20.0273402943534 -9.46464103268299 11.6724478760603 22.2351471377307
"2013-11-19" 11.14973 11.29776 10.75505 11.29776 1037100 20.7443 1.12682086042292 -20.0044228556191 -9.44172359394871 11.6953653147945 22.258064576465
"2013-11-20" 10.95236 11.14973 10.50839 10.50839 1057500 19.2949 1.1497382991572 -19.9815054168849 -9.41880615521443 11.7182827535288 22.2809820151993
"2013-11-21" 9.86704 10.31102 9.77822 9.91633 1899800 18.2078 1.17265573789148 -19.9585879781506 -9.39588871648015 11.7412001922631 22.3038994539335
"2013-11-22" 9.96567 10.26168 9.96567 9.96567 663400 18.2984 1.19557317662576 -19.9356705394163 -9.37297127774587 11.7641176309974 22.3268168926678
"2013-11-25" 10.21239 10.31102 9.96567 10.01502 321700 18.389 1.21849061536003 -19.912753100682 -9.35005383901159 11.7870350697317 22.3497343314021
"2013-11-26" 10.01502 10.16304 10.01502 10.06436 280300 18.4796 1.24140805409431 -19.8898356619477 -9.32713640027731 11.8099525084659 22.3726517701364
"2013-11-27" 10.06436 10.75505 10.06436 10.75505 642400 19.7478 1.26432549282859 -19.8669182232135 -9.30421896154304 11.8328699472002 22.3955692088707
"2013-11-28" 11.05105 11.29776 10.95236 10.95236 813000 20.1101 1.28724293156287 -19.8440007844792 -9.28130152280876 11.8557873859345 22.4184866476049
"2013-11-29" 11.00171 11.19908 10.75505 10.85373 326700 19.929 1.31016037029715 -19.8210833457449 -9.25838408407448 11.8787048246688 22.4414040863392
"2013-12-02" 10.85373 11.14973 10.85373 10.95236 275400 20.1101 1.33307780903143 -19.7981659070106 -9.2354666453402 11.9016222634031 22.4643215250735
"2013-12-03" 11.10039 11.6431 11.10039 11.44573 610400 21.016 1.35599524776571 -19.7752484682764 -9.21254920660592 11.9245397021373 22.4872389638078
"2013-12-04" 11.44573 11.6431 11.29776 11.29776 393500 20.7443 1.37891268649998 -19.7523310295421 -9.18963176787164 11.9474571408716 22.5101564025421
"2013-12-05" 11.19908 11.54442 11.19908 11.24842 166100 20.6537 1.40183012523426 -19.7294135908078 -9.16671432913736 11.9703745796059 22.5330738412763
"2013-12-06" 11.54442 11.84042 11.34705 11.49508 386900 21.1066 1.42474756396854 -19.7064961520735 -9.14379689040308 11.9932920183402 22.5559912800106
"2013-12-09" 11.74173 12.23511 11.54442 11.59376 444300 21.2878 1.44766500270282 -19.6835787133392 -9.12087945166881 12.0162094570744 22.5789087187449
"2013-12-10" 11.6431 11.98845 11.6431 11.69245 371400 21.469 1.4705824414371 -19.660661274605 -9.09796201293453 12.0391268958087 22.6018261574792
"2013-12-11" 11.84042 12.08708 11.34705 11.49508 314000 21.1066 1.49349988017138 -19.6377438358707 -9.07504457420025 12.062044334543 22.6247435962134
"2013-12-12" 11.54442 11.69245 11.00171 11.14973 225700 20.4725 1.51641731890566 -19.6148263971364 -9.05212713546597 12.0849617732773 22.6476610349477
"2013-12-13" 10.85373 11.19908 10.85373 10.95236 187600 20.1101 1.53933475763993 -19.5919089584021 -9.02920969673169 12.1078792120116 22.670578473682
"2013-12-16" 10.95236 11.14973 10.90307 10.90307 137400 20.0196 1.56225219637421 -19.5689915196678 -9.00629225799741 12.1307966507458 22.6934959124163
"2013-12-17" 10.90307 11.10039 10.90307 10.95236 152800 20.1101 1.58516963510849 -19.5460740809336 -8.98337481926314 12.1537140894801 22.7164133511506
"2013-12-18" 10.95236 11.24842 10.95236 11.19908 130200 20.5631 1.60808707384277 -19.5231566421993 -8.96045738052886 12.1766315282144 22.7393307898848
"2013-12-19" 11.29776 11.29776 11.00171 11.05105 189800 20.2913 1.63100451257705 -19.500239203465 -8.93753994179458 12.1995489669487 22.7622482286191
"2013-12-20" 11.05105 11.05105 10.55773 10.65636 551400 19.5666 1.65392195131133 -19.4773217647307 -8.9146225030603 12.222466405683 22.7851656673534
"2013-12-23" 10.65636 10.65636 10.21239 10.36036 447000 19.0231 1.67683939004561 -19.4544043259965 -8.89170506432602 12.2453838444172 22.8080831060877
"2013-12-24" 10.45905 11.05105 10.4097 11.05105 438800 20.2913 1.69975682877988 -19.4314868872622 -8.86878762559174 12.2683012831515 22.831000544822
"2013-12-25" 11.19908 11.54442 11.10039 11.19908 531500 20.5631 1.72267426751416 -19.4085694485279 -8.84587018685746 12.2912187218858 22.8539179835562
"2013-12-26" 11.39639 11.39639 10.85373 10.95236 326700 20.1101 1.74559170624844 -19.3856520097936 -8.82295274812319 12.3141361606201 22.8768354222905
"2013-12-27" 11.05105 11.19908 10.95236 11.00171 270400 20.2007 1.76850914498272 -19.3627345710593 -8.80003530938891 12.3370535993543 22.8997528610248
"2013-12-30" 11.10039 11.19908 10.85373 10.95236 334400 20.1101 1.791426583717 -19.3398171323251 -8.77711787065463 12.3599710380886 22.9226702997591
"2013-12-31" 10.95236 11.34705 10.95236 11.10039 424400 20.3819 1.81434402245128 -19.3168996935908 -8.75420043192035 12.3828884768229 22.9455877384933
"2014-01-01" 11.10039 11.10039 11.10039 11.10039 0 20.3819 1.83726146118556 -19.2939822548565 -8.73128299318607 12.4058059155572 22.9685051772276
"2014-01-02" 11.10039 11.19908 11.05105 11.14973 351500 20.4725 1.86017889991983 -19.2710648161222 -8.70836555445179 12.4287233542915 22.9914226159619
"2014-01-03" 11.14973 11.24842 11.05105 11.14973 342700 20.4725 1.88309633865411 -19.2481473773879 -8.68544811571751 12.4516407930257 23.0143400546962
"2014-01-06" 11.24842 11.24842 11.10039 11.10039 352100 20.3819 1.90601377738839 -19.2252299386537 -8.66253067698324 12.47455823176 23.0372574934305
"2014-01-07" 11.10039 11.34705 11.10039 11.24842 398500 20.6537 1.92893121612267 -19.2023124999194 -8.63961323824896 12.4974756704943 23.0601749321647
